Kategoria;Grupa;Podgrupa (wymiary);Wymiar 1;Wymiar 2;Jednostka miary;"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024";"2025";
"RYNEK NIERUCHOMOŚCI";"RYNKOWA SPRZEDAŻ LOKALI MIESZKALNYCH";"Mediana cen za 1 m2 lokali mieszkalnych sprzedanych w ramach transakcji rynkowych (Wymiary: Transakcje rynkowe; Powierzchnia użytkowa lokali mieszkalnych)";"ogółem";"ogółem";"zł";;;;;;;;;4642;4797;4366;4242;4427;4403;4433;4496;4720;5233;5781;6202;7077;7500;8571;;
"RYNEK NIERUCHOMOŚCI";"RYNKOWA SPRZEDAŻ LOKALI MIESZKALNYCH";"Mediana cen za 1 m2 lokali mieszkalnych sprzedanych w ramach transakcji rynkowych (Wymiary: Transakcje rynkowe; Powierzchnia użytkowa lokali mieszkalnych)";"ogółem";"do 40 m2";"zł";;;;;;;;;4682;4822;4341;4201;4416;4385;4454;4479;4880;5418;6120;6647;7427;7887;9000;;
"RYNEK NIERUCHOMOŚCI";"RYNKOWA SPRZEDAŻ LOKALI MIESZKALNYCH";"Mediana cen za 1 m2 lokali mieszkalnych sprzedanych w ramach transakcji rynkowych (Wymiary: Transakcje rynkowe; Powierzchnia użytkowa lokali mieszkalnych)";"ogółem";"od 40,1 do 60 m2";"zł";;;;;;;;;4649;4849;4382;4298;4415;4420;4461;4500;4800;5290;5808;6120;7145;7406;8517;;
"RYNEK NIERUCHOMOŚCI";"RYNKOWA SPRZEDAŻ LOKALI MIESZKALNYCH";"Mediana cen za 1 m2 lokali mieszkalnych sprzedanych w ramach transakcji rynkowych (Wymiary: Transakcje rynkowe; Powierzchnia użytkowa lokali mieszkalnych)";"ogółem";"od 60,1 do 80 m2";"zł";;;;;;;;;4431;4565;4413;4254;4529;4406;4445;4560;4578;5033;5541;6113;6745;7570;8383;;
"RYNEK NIERUCHOMOŚCI";"RYNKOWA SPRZEDAŻ LOKALI MIESZKALNYCH";"Mediana cen za 1 m2 lokali mieszkalnych sprzedanych w ramach transakcji rynkowych (Wymiary: Transakcje rynkowe; Powierzchnia użytkowa lokali mieszkalnych)";"ogółem";"od 80,1 m2";"zł";;;;;;;;;4430;4863;4120;3684;3945;4303;3880;4000;4053;4448;5030;5710;6057;6737;7616;;
"RYNEK NIERUCHOMOŚCI";"RYNKOWA SPRZEDAŻ LOKALI MIESZKALNYCH";"Mediana cen za 1 m2 lokali mieszkalnych sprzedanych w ramach transakcji rynkowych (Wymiary: Transakcje rynkowe; Powierzchnia użytkowa lokali mieszkalnych)";"rynek pierwotny";"ogółem";"zł";;;;;;;;;5273;5196;4450;4366;4539;4637;4722;4696;5085;5341;5868;6210;7172;7536;8846;;
"RYNEK NIERUCHOMOŚCI";"RYNKOWA SPRZEDAŻ LOKALI MIESZKALNYCH";"Mediana cen za 1 m2 lokali mieszkalnych sprzedanych w ramach transakcji rynkowych (Wymiary: Transakcje rynkowe; Powierzchnia użytkowa lokali mieszkalnych)";"rynek pierwotny";"do 40 m2";"zł";;;;;;;;;5073;5346;4299;4247;4641;4595;4599;4621;5372;5049;6262;6654;7465;7841;9872;;
"RYNEK NIERUCHOMOŚCI";"RYNKOWA SPRZEDAŻ LOKALI MIESZKALNYCH";"Mediana cen za 1 m2 lokali mieszkalnych sprzedanych w ramach transakcji rynkowych (Wymiary: Transakcje rynkowe; Powierzchnia użytkowa lokali mieszkalnych)";"rynek pierwotny";"od 40,1 do 60 m2";"zł";;;;;;;;;5302;5219;4451;4388;4497;4617;4723;4648;5065;5460;5854;6055;7249;7448;8767;;
"RYNEK NIERUCHOMOŚCI";"RYNKOWA SPRZEDAŻ LOKALI MIESZKALNYCH";"Mediana cen za 1 m2 lokali mieszkalnych sprzedanych w ramach transakcji rynkowych (Wymiary: Transakcje rynkowe; Powierzchnia użytkowa lokali mieszkalnych)";"rynek pierwotny";"od 60,1 do 80 m2";"zł";;;;;;;;;5498;5148;4726;4593;4712;4660;4748;4820;5095;5249;5744;6364;6874;7657;8650;;
"RYNEK NIERUCHOMOŚCI";"RYNKOWA SPRZEDAŻ LOKALI MIESZKALNYCH";"Mediana cen za 1 m2 lokali mieszkalnych sprzedanych w ramach transakcji rynkowych (Wymiary: Transakcje rynkowe; Powierzchnia użytkowa lokali mieszkalnych)";"rynek pierwotny";"od 80,1 m2";"zł";;;;;;;;;4883;4976;4755;3999;4410;5033;4853;4508;4467;5229;5444;5892;6831;7292;9155;;
