Kategoria;Grupa;Podgrupa (wymiary);Wymiar 1;Wymiar 2;Jednostka miary;"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024";"2025";
"RYNEK NIERUCHOMOŚCI";"RYNKOWA SPRZEDAŻ LOKALI MIESZKALNYCH";"Mediana cen za 1 m2 lokali mieszkalnych sprzedanych w ramach transakcji rynkowych (Wymiary: Transakcje rynkowe; Powierzchnia użytkowa lokali mieszkalnych)";"ogółem";"ogółem";"zł";;;;;;;;;7794;7723;7363;6927;7105;7257;7346;7754;8144;8723;9327;10495;11705;13081;15402;;
"RYNEK NIERUCHOMOŚCI";"RYNKOWA SPRZEDAŻ LOKALI MIESZKALNYCH";"Mediana cen za 1 m2 lokali mieszkalnych sprzedanych w ramach transakcji rynkowych (Wymiary: Transakcje rynkowe; Powierzchnia użytkowa lokali mieszkalnych)";"ogółem";"do 40 m2";"zł";;;;;;;;;8011;7989;7552;7023;7338;7454;7547;8000;8555;9451;10004;11250;12459;14225;16393;;
"RYNEK NIERUCHOMOŚCI";"RYNKOWA SPRZEDAŻ LOKALI MIESZKALNYCH";"Mediana cen za 1 m2 lokali mieszkalnych sprzedanych w ramach transakcji rynkowych (Wymiary: Transakcje rynkowe; Powierzchnia użytkowa lokali mieszkalnych)";"ogółem";"od 40,1 do 60 m2";"zł";;;;;;;;;7549;7510;7168;6800;6977;7135;7227;7678;7945;8565;9152;10388;11547;12841;15117;;
"RYNEK NIERUCHOMOŚCI";"RYNKOWA SPRZEDAŻ LOKALI MIESZKALNYCH";"Mediana cen za 1 m2 lokali mieszkalnych sprzedanych w ramach transakcji rynkowych (Wymiary: Transakcje rynkowe; Powierzchnia użytkowa lokali mieszkalnych)";"ogółem";"od 60,1 do 80 m2";"zł";;;;;;;;;7627;7574;7244;6831;6926;7190;7211;7544;7831;8320;8809;9696;10789;12112;14653;;
"RYNEK NIERUCHOMOŚCI";"RYNKOWA SPRZEDAŻ LOKALI MIESZKALNYCH";"Mediana cen za 1 m2 lokali mieszkalnych sprzedanych w ramach transakcji rynkowych (Wymiary: Transakcje rynkowe; Powierzchnia użytkowa lokali mieszkalnych)";"ogółem";"od 80,1 m2";"zł";;;;;;;;;8555;8256;7906;7345;7403;7523;7888;8122;8617;8729;9447;10404;11499;12358;14925;;
"RYNEK NIERUCHOMOŚCI";"RYNKOWA SPRZEDAŻ LOKALI MIESZKALNYCH";"Mediana cen za 1 m2 lokali mieszkalnych sprzedanych w ramach transakcji rynkowych (Wymiary: Transakcje rynkowe; Powierzchnia użytkowa lokali mieszkalnych)";"rynek pierwotny";"ogółem";"zł";;;;;;;;;7584;7499;7398;6900;7011;7267;7328;7684;7830;7987;8479;9473;10206;11802;14082;;
"RYNEK NIERUCHOMOŚCI";"RYNKOWA SPRZEDAŻ LOKALI MIESZKALNYCH";"Mediana cen za 1 m2 lokali mieszkalnych sprzedanych w ramach transakcji rynkowych (Wymiary: Transakcje rynkowe; Powierzchnia użytkowa lokali mieszkalnych)";"rynek pierwotny";"do 40 m2";"zł";;;;;;;;;7570;7480;8040;6524;7167;7455;7442;7817;7974;8201;8723;10069;10867;13040;14459;;
"RYNEK NIERUCHOMOŚCI";"RYNKOWA SPRZEDAŻ LOKALI MIESZKALNYCH";"Mediana cen za 1 m2 lokali mieszkalnych sprzedanych w ramach transakcji rynkowych (Wymiary: Transakcje rynkowe; Powierzchnia użytkowa lokali mieszkalnych)";"rynek pierwotny";"od 40,1 do 60 m2";"zł";;;;;;;;;7301;7474;7323;6960;7009;7195;7253;7649;7676;7847;8402;9744;10427;11977;13992;;
"RYNEK NIERUCHOMOŚCI";"RYNKOWA SPRZEDAŻ LOKALI MIESZKALNYCH";"Mediana cen za 1 m2 lokali mieszkalnych sprzedanych w ramach transakcji rynkowych (Wymiary: Transakcje rynkowe; Powierzchnia użytkowa lokali mieszkalnych)";"rynek pierwotny";"od 60,1 do 80 m2";"zł";;;;;;;;;7491;7362;7231;6832;6900;7240;7254;7567;7701;7926;8284;8904;9573;10844;13251;;
"RYNEK NIERUCHOMOŚCI";"RYNKOWA SPRZEDAŻ LOKALI MIESZKALNYCH";"Mediana cen za 1 m2 lokali mieszkalnych sprzedanych w ramach transakcji rynkowych (Wymiary: Transakcje rynkowe; Powierzchnia użytkowa lokali mieszkalnych)";"rynek pierwotny";"od 80,1 m2";"zł";;;;;;;;;8356;7798;7710;7079;7095;7334;7757;8089;8442;8263;8661;9177;9927;10736;14640;;
"RYNEK NIERUCHOMOŚCI";"RYNKOWA SPRZEDAŻ LOKALI MIESZKALNYCH";"Mediana cen za 1 m2 lokali mieszkalnych sprzedanych w ramach transakcji rynkowych (Wymiary: Transakcje rynkowe; Powierzchnia użytkowa lokali mieszkalnych)";"rynek wtórny";"ogółem";"zł";;;;;;;;;7848;7795;7343;6939;7174;7248;7371;7816;8314;9227;10392;11281;12637;13855;16125;;
"RYNEK NIERUCHOMOŚCI";"RYNKOWA SPRZEDAŻ LOKALI MIESZKALNYCH";"Mediana cen za 1 m2 lokali mieszkalnych sprzedanych w ramach transakcji rynkowych (Wymiary: Transakcje rynkowe; Powierzchnia użytkowa lokali mieszkalnych)";"rynek wtórny";"do 40 m2";"zł";;;;;;;;;8046;8019;7500;7088;7401;7454;7618;8108;8730;9868;10884;11781;13026;14706;17297;;
"RYNEK NIERUCHOMOŚCI";"RYNKOWA SPRZEDAŻ LOKALI MIESZKALNYCH";"Mediana cen za 1 m2 lokali mieszkalnych sprzedanych w ramach transakcji rynkowych (Wymiary: Transakcje rynkowe; Powierzchnia użytkowa lokali mieszkalnych)";"rynek wtórny";"od 40,1 do 60 m2";"zł";;;;;;;;;7586;7526;7077;6714;6939;7073;7191;7708;8101;8951;9979;10827;12100;13269;15533;;
"RYNEK NIERUCHOMOŚCI";"RYNKOWA SPRZEDAŻ LOKALI MIESZKALNYCH";"Mediana cen za 1 m2 lokali mieszkalnych sprzedanych w ramach transakcji rynkowych (Wymiary: Transakcje rynkowe; Powierzchnia użytkowa lokali mieszkalnych)";"rynek wtórny";"od 60,1 do 80 m2";"zł";;;;;;;;;7692;7733;7254;6831;6997;7102;7153;7504;7929;8737;10015;11180;12683;13333;15656;;
"RYNEK NIERUCHOMOŚCI";"RYNKOWA SPRZEDAŻ LOKALI MIESZKALNYCH";"Mediana cen za 1 m2 lokali mieszkalnych sprzedanych w ramach transakcji rynkowych (Wymiary: Transakcje rynkowe; Powierzchnia użytkowa lokali mieszkalnych)";"rynek wtórny";"od 80,1 m2";"zł";;;;;;;;;8696;8607;8218;7609;7790;7806;8011;8157;8880;9151;10830;11862;13815;15231;15427;;
"WYNAGRODZENIA I ŚWIADCZENIA SPOŁECZNE";"WYNAGRODZENIA";"Przeciętne miesięczne wynagrodzenia brutto (Wymiary: Wyszczególnienie)";"ogółem";"";"zł";3238,19;3368,71;3465,19;3613,44;3789,94;4099,73;4504,85;4603,26;4694,47;4936,36;5077,53;5226,05;5385,80;5591,46;5739,61;6059,04;6432,78;6802,60;7147,46;7687,58;8540,11;9625,74;10714,99;;
"WYNAGRODZENIA I ŚWIADCZENIA SPOŁECZNE";"WYNAGRODZENIA";"Przeciętne miesięczne wynagrodzenia brutto (Wymiary: Wyszczególnienie)";"przeciętne miesięczne wynagrodzenia brutto w relacji do średniej krajowej (Polska=100)";"";"%";144,6;145,5;143,8;144,1;143,7;143,0;142,6;138,8;136,7;136,2;135,6;134,8;134,5;134,7;133,8;133,8;133,1;131,3;129,4;128,1;127,4;126,7;124,2;;
